outcome_id,outcome_description,outcome_type,typical_timeline_months,financial_implications,appeal_possible,enforcement_mechanism,precedent_cases,embedding_text
OUT_001,FIR Registered and Investigation Initiated,Favorable,1,No direct financial implication; police investigates at state cost,No,Police Investigation,State v. Navjot Singh Sidhu (2007); Lalita Kumari v. Govt of UP (2014),FIR registered police investigation criminal case initiation
OUT_002,Accused Acquitted Due to Insufficient Evidence,Unfavorable,24,Complainant may bear own legal costs,Yes - State can appeal,None - Release of accused,Manu Sharma v. State (Delhi) 2010; K.M. Nanavati v. State of Maharashtra 1962,Accused acquitted insufficient evidence criminal trial
OUT_003,Accused Convicted and Sentenced to Imprisonment,Favorable,30,Fine if imposed; victim may get compensation under CRPC 357,Yes - Accused can appeal,Jail Authorities / Prison Department,Bachan Singh v. State of Punjab 1980; State of Maharashtra v. Salman Khan 2015,Convicted imprisonment sentence criminal case outcome
OUT_004,Accused Granted Bail,Neutral,1,Bail bond amount deposited; conditions may apply,Yes,Bail Bond Forfeiture if violated,Arnesh Kumar v. State of Bihar 2014; Sushila Aggarwal v. State (NCT of Delhi) 2020,Bail granted accused release custody conditions
OUT_005,Anticipatory Bail Granted,Favorable,1,Bond amount typically Rs 50000-200000; sureties required,Yes - State can challenge,Bail condition monitoring by police,Siddharam Satlingappa Mhetre v. State of Maharashtra 2011,Anticipatory bail granted pre-arrest protection accused
OUT_006,Bail Rejected and Accused Remains in Custody,Unfavorable,1,No financial implication except legal costs,Yes,Judicial custody / Prison,Neeru Yadav v. State of UP 2014,Bail rejected custody remand accused detention
OUT_007,Compensation Awarded to Victim,Favorable,18,Compensation amount as ordered by court; executed against accused property,Yes,Court execution proceedings,Nilabati Behera v. State of Orissa 1993; Ankush Shivaji Gaikwad v. State of Maharashtra 2013,Compensation awarded victim court order financial relief
OUT_008,Civil Decree for Money Recovery,Favorable,24,Decree amount plus interest and costs; execution can attach assets,Yes,Civil Court Execution; Property Attachment,Khimji Poonja v. Kailash (2013); Bank of India v. Ketan Parekh 2008,Civil decree money recovery judgment debt repayment
OUT_009,Injunction Granted Restraining Defendant,Favorable,2,No direct financial loss; cost of compliance for defendant,Yes,Contempt of Court if violated,Dalpat Kumar v. Prahlad Singh 1991; Gujarat Bottling Co v. Coca Cola Co 1995,Injunction granted restraining order defendant prevented
OUT_010,Injunction Refused / Dismissed,Unfavorable,2,Legal costs may be imposed on applicant,Yes,None,M/S Colgate Palmolive v. M/S Hindustan Lever 1999,Injunction refused dismissed balance of convenience plaintiff
OUT_011,Property Title Declared in Favour of Plaintiff,Favorable,36,Clear title enables property transactions; stamp duty savings,Yes,Civil Court Decree execution,Suraj Lamp and Industries v. State of Haryana 2012; Asha Ram v. Collector 2014,Property title declaration plaintiff ownership civil decree
OUT_012,Eviction Decree Granted Against Tenant,Favorable,30,Recovery of property; back rent as mesne profits,Yes,Court Commissioner; Police Assistance,Ragavendra Kumar v. Firm Prem Machinery 2000; M/S Nopany Investments v. Santokh Singh 2007,Eviction decree tenant eviction property recovery landlord
OUT_013,Eviction Suit Dismissed,Unfavorable,30,Legal costs imposed on landlord; tenant continues,Yes,None,Surjit Kaur v. Jhunjhunu Urban Credit Society 2000,Eviction dismissed tenant protection landlord suit failed
OUT_014,Divorce Decree Granted,Favorable,36,Division of assets; maintenance orders,Yes,Family Court Execution,Shayara Bano v. Union of India 2017; Naveen Kohli v. Neelu Kohli 2006,Divorce decree marriage dissolution family court
OUT_015,Divorce Petition Dismissed,Unfavorable,36,Legal costs; marriage continues,Yes,None,V. Bhagat v. D. Bhagat 1994; Savitri Pandey v. Prem Chandra Pandey 2002,Divorce dismissed marriage continues petition failed
OUT_016,Maintenance Granted to Wife/Child,Favorable,6,Monthly maintenance amount as per court order; enforceable,Yes,Attachment of earnings; Property attachment,Chanmuniya v. Virendra Kumar Singh Kushwaha 2011; Rajnesh v. Neha 2020,Maintenance granted wife child monthly support court order
OUT_017,Maintenance Petition Dismissed,Unfavorable,6,Applicant bears own legal costs,Yes,None,Chaturbhuj v. Sita Bai 2008,Maintenance dismissed wife child support petition failed
OUT_018,Child Custody Granted to Mother/Father,Favorable,12,Financial responsibility for child maintenance,Yes,Family Court Execution,Yashita Sahu v. State of Rajasthan 2020; Nil Ratan Kundu v. Abhijit Kundu 2008,Child custody granted parent welfare best interest
